time,x,y,z
7.140000000000000568e+00,-1.084781469545016641e+01,-1.167528975116585599e+01,2.901370103425167102e+01
7.169999999999999929e+00,-1.094959579358746637e+01,-1.077661352101285175e+01,3.033145803027401044e+01
7.200000000000000178e+00,-1.074293874639338142e+01,-9.552650995989452554e+00,3.119166488312252383e+01
7.230000000000000426e+00,-1.025124486249610456e+01,-8.213735348483634624e+00,3.148615824269310437e+01
7.259999999999999787e+00,-9.548519951499923053e+00,-6.971659264417276347e+00,3.122878463748290656e+01
7.290000000000000036e+00,-8.737205821313065002e+00,-5.976644719319319954e+00,3.052612317653482776e+01
7.320000000000000284e+00,-7.920633216063402315e+00,-5.295148401023195284e+00,2.952292769025731900e+01
7.350000000000000533e+00,-7.182533374150397165e+00,-4.925743788481339536e+00,2.835668821951831120e+01
7.379999999999999893e+00,-6.578729934227383502e+00,-4.830447440004527415e+00,2.713638119319356434e+01
7.410000000000000142e+00,-6.138909251140744594e+00,-4.962054100316351857e+00,2.594107482788081498e+01
7.440000000000000391e+00,-5.873501728166100833e+00,-5.280065516879242971e+00,2.482785041299466755e+01
7.469999999999999751e+00,-5.781395300313368679e+00,-5.756232158508140628e+00,2.384135239676054496e+01
7.500000000000000000e+00,-5.856060143744232782e+00,-6.373322686682672433e+00,2.302169827359708520e+01
7.530000000000000249e+00,-6.089185035952231040e+00,-7.120076091777630012e+00,2.241007750833919587e+01
7.560000000000000497e+00,-6.471724422551282885e+00,-7.983836154128150397e+00,2.205203431909747636e+01
7.589999999999999858e+00,-6.992507347013885877e+00,-8.941326628946283606e+00,2.199793886003293153e+01
7.620000000000000107e+00,-7.634594526840974282e+00,-9.947920359754068187e+00,2.229913437943966059e+01
7.650000000000000355e+00,-8.369742430304329517e+00,-1.092699774896743392e+01,2.299728519772905955e+01
7.679999999999999716e+00,-9.152007137091503708e+00,-1.176388081349119297e+01,2.410464054766446296e+01
7.709999999999999964e+00,-9.912940394678869893e+00,-1.231263925768740819e+01,2.557627227721644658e+01
7.740000000000000213e+00,-1.056265094716410857e+01,-1.242525927642557981e+01,2.728363903970991089e+01
7.770000000000000462e+00,-1.100157592676428564e+01,-1.200457925264582926e+01,2.900947584759269660e+01
7.799999999999999822e+00,-1.114435832884212196e+01,-1.106182148552992039e+01,3.048525359282908909e+01
7.830000000000000071e+00,-1.094885225702778264e+01,-9.740025402552678457e+00,3.147011898259628992e+01
7.860000000000000320e+00,-1.043536418212468320e+01,-8.274708755566253515e+00,3.183257071755441103e+01
7.890000000000000568e+00,-9.683318904706364805e+00,-6.908492111126638413e+00,3.158304544940927983e+01
7.919999999999999929e+00,-8.806267605773562934e+00,-5.813781471370946363e+00,3.084133055270967105e+01
7.950000000000000178e+00,-7.919551668207898132e+00,-5.064748851429469845e+00,2.977126080308100953e+01
7.980000000000000426e+00,-7.116094951481168884e+00,-4.656391833559241356e+00,2.852627278638251695e+01
8.009999999999999787e+00,-6.456777377982144905e+00,-4.542314279275160516e+00,2.722486693763791976e+01
8.040000000000000924e+00,-5.972781922557620859e+00,-4.667084624242226809e+00,2.595007877715330125e+01
8.070000000000000284e+00,-5.673836653574604760e+00,-4.984538543305329306e+00,2.475956664538279739e+01
8.099999999999999645e+00,-5.557265444294685608e+00,-5.463834691744768435e+00,2.369701151319050325e+01
8.130000000000000782e+00,-5.615103575459433394e+00,-6.087945329780576564e+00,2.280123420078292895e+01
8.160000000000000142e+00,-5.838365978045567672e+00,-6.848190188212898377e+00,2.211261961535801035e+01
8.189999999999999503e+00,-6.218462100889461830e+00,-7.736512137625457974e+00,2.167720471983304620e+01
8.220000000000000639e+00,-6.745979764288032143e+00,-8.735801059263009094e+00,2.154820626203618872e+01
8.250000000000000000e+00,-7.406996641627350719e+00,-9.808175605039037848e+00,2.178354421894087523e+01
8.279999999999999361e+00,-8.177109196972267569e+00,-1.088215518249479352e+01,2.243653513094761109e+01
8.310000000000000497e+00,-9.013915168065340211e+00,-1.184265438237266466e+01,2.353635128998366000e+01
8.339999999999999858e+00,-9.850146919027642056e+00,-1.253257446531862485e+01,2.505727675125009313e+01
